, ,제 53 기 1분기말,제 52 기말
0,자산, , 
1,    유동자산,76223367,76082873
2,        현금및현금성자산,10373838,8681971
3,        단기금융상품,7020949,7292626
4,        기타금융자산,8218376,9449913
5,        매출채권,3058322,3513090
6,        기타채권,3473865,3402059
7,        재고자산,11939143,11663848
8,        기타자산,1893273,1777627
9,        당기법인세자산,120470,112046
10,        금융업채권,30060242,30178200
11,        매각예정비유동자산,64889,11493
12,    비유동자산,122627482,118429347
13,        장기금융상품,378215,803262
14,        기타금융자산,2784244,3059526
15,        장기성매출채권,88293,127430
16,        기타채권,700828,705154
17,        기타자산,935497,865767
18,        유형자산,33556243,32831524
19,        투자부동산,169450,171494
20,        무형자산,5572254,5266496
21,        공동기업 및 관계기업투자,19730724,18375290
22,        이연법인세자산,2646299,2340096
23,        금융업채권,33118291,32080426
24,        운용리스자산,22073284,21068340
25,        사용권자산,873860,734542
26,    자산총계,198850849,194512220
27,부채, , 
28,    유동부채,54206672,53314096
29,        매입채무,7959779,7669424
30,        미지급금,4351502,6060100
31,        단기차입금,12037891,12570693
32,        유동성장기부채,17003618,15778558
33,        당기법인세부채,466091,370100
34,        충당부채,3635951,3462034
35,        기타금융부채,60041,9970
36,        기타부채,8546225,7260829
37,        리스부채,145574,132388
38,    비유동부채,68717561,64832370
39,        장기성미지급금,841875,847287
40,        사채,44549549,41805814
41,        장기차입금,12108292,11217088
42,        순확정급여부채,429106,412598
43,        충당부채,3708550,3682895
44,        기타금융부채,277436,175196
45,        기타부채,2500172,2552819
46,        이연법인세부채,3661036,3503077
47,        리스부채,641545,635596
48,    부채총계,122924233,118146466
49,자본, , 
50,    지배기업소유주지분,69438925,70065802
51,        자본금,1488993,1488993
52,        자본잉여금,4197215,4197015
53,        기타자본항목,-1700573,-1516817
54,        기타포괄손익누계액,-2447067,-2353022
55,        이익잉여금,67900357,68249633
56,    비지배지분,6487691,6299952
57,    자본총계,75926616,76365754
58,부채와자본총계,198850849,194512220
